item_id,type_id,item_name,size,description,weight,volume,sort,tax,tax_price,price,discount,icon,brand,icon,expire_time,amount
34,3,雅培安素 蛋白质粉 香草 850g Ensure Powder Vanlilla,850g,,1000,100,0,0,30,30,0,http://52.63.10.86:8080/image/Ensure-vanilla.jpg,Ensure,http://52.63.10.86:8080/image/Ensure-vanilla.jpg,0,100
35,3,雅培安素 蛋白质粉 巧克力 850g Ensure Powder Chocolate,850g,,1000,100,0,0,30,30,0,http://52.63.10.86:8080/image/Ensure-chocolate.jpg,Ensure,http://52.63.10.86:8080/image/Ensure-chocolate.jpg,0,100
36,3,贺寿利 山羊奶粉 450g Healtheries Goats Milk Powder,450g,,1000,100,0,0,14.95,14.95,0,http://52.63.10.86:8080/image/Healtheries-Goats-Milk-Powder-450g.jpg,Healtheries,http://52.63.10.86:8080/image/Healtheries-Goats-Milk-Powder-450g.jpg,0,100
37,3,小安素 营养奶粉 1-10岁 850g PediaSure Complete Balance Nutrition Vanilla,850g,,1000,100,0,0,33,33,0,http://52.63.10.86:8080/image/PediaSure-Vanilla-850g.jpg,Pedicure,http://52.63.10.86:8080/image/PediaSure-Vanilla-850g.jpg,0,49
38,3,美可卓 山羊奶粉 400g Maxigenes Goat Milk Powder,400g,,1000,100,0,0,17.5,17.5,0,http://52.63.10.86:8080/image/Maxigine_goat.jpg,Maxigenes,http://52.63.10.86:8080/image/Maxigine_goat.jpg,0,66
45,3,榨汁机 Mix & Go,2000g,。澳洲人气产品mix and go!只要将任何水果切块，放进搅拌机，盖上盖子，直接可以喝，可以带出去不仅适合上班，给宝宝随身携带也可做宝宝的辅食机，再不要忧愁国内的添加剂和清洗机器的繁琐，榨完是果汁和果肉一起喝掉，机器不用清洗！自配无BPA杯子两个。杯子是600ml的。,1000,100,1,0,36,36,1,http://52.63.10.86:8080/image/Mix_Go.jpg,Mix&Go,http://52.63.10.86:8080/image/Mix_Go.jpg,15-05-16,0
40,3,榨汁机自提补差价专用,,,1000,100,0,0,1.5,1.5,0,http://52.63.10.86:8080/image/Mix_Go.jpg,Mix&Go,http://52.63.10.86:8080/image/Mix_Go.jpg,,98871
41,4,Swisse VD+钙 150粒 Swisse Calcium + Vitamin D,150粒,,1000,100,1,1.2,13.5,14,1,http://52.63.10.86:8080/image/Swisse_Calcium_VItaminD.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Calcium_VItaminD.jpg,15-05-16,9540
42,4,Swisse 葡萄籽 180粒 Swisse Grape Seed,180粒,,1000,100,1,2,18,18.5,1,http://52.63.10.86:8080/image/Swisse_Grape_Seed.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Grape_Seed.jpg,15-05-16,9605
43,4,Swisse 胶原蛋白液 500ml Swisse Hair Skin Nails Liquid,500ml,,1000,100,1,1.59,15,16,1,http://52.63.10.86:8080/image/Swisse_Hair_Skin_Nails.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Hair_Skin_Nails.jpg,15-05-16,9632
